Run,Plate,ID,area,perimeter,axis_major_length,axis_minor_length,eccentricity,feret_diameter_max,solidity,aspect_ratio
RR,2,H12,47543.911582099994,816.0900320502674,263.66061928794454,229.81669568372675,0.49014963293130714,268.13780684730006,0.9854300485665047,0.8716383064880208
RR,3,A1,50522.01987515999,840.6383453151057,269.80119331179054,238.94865177897782,0.4643588763389074,273.93846401102564,0.9858407079646018,0.8856471272269038
RR,3,A2,49887.09323399999,828.4214161324613,254.206901952018,250.21373837453822,0.1765499655930534,263.60325103186796,0.9875804279515188,0.9842916791526238
RR,3,A3,52411.68249765999,857.9156922557527,271.7575377970963,245.97048271029223,0.42517733966617266,276.64297607430774,0.9846634478841239,0.90511006503872
RR,3,A4,50348.17091388999,835.5305187854291,258.0886975897764,248.5641588889457,0.2691585854011991,264.6477950793091,0.9865225118483413,0.96309587056784
RR,3,A5,49448.69150557999,834.196334703235,255.5984867784048,247.04624183365834,0.25651475623322634,261.54499982698957,0.9858348402652201,0.966540314645286
RR,3,A6,51686.05205061999,854.8565506210408,268.6104342264886,245.71701835311322,0.4039729378783997,276.3012304514766,0.9821890261419133,0.9147709360609871
RR,3,A7,50265.02575849999,845.4698532740086,268.75708193782395,238.58698748786057,0.4603410583896144,271.74991313209284,0.9846017175007403,0.88774214159334
RR,3,A8,51859.90101188999,850.0250426621378,258.3084421360174,255.99158640698306,0.1336346773890637,266.69627127295945,0.9859175168846098,0.991030661987368
RR,3,A9,52426.79979863999,859.4117400091702,275.09330515764714,243.32928437208602,0.4664763959682807,278.26393158215814,0.9846678023850085,0.8845336466208867
RR,3,A10,47324.71071788999,811.9256161324615,251.83770460812167,239.55491565713584,0.3084906868760996,261.284770366893,0.9858290033065659,0.951227362995153
RR,3,A11,50794.13129279999,846.8040373562026,260.40245358073065,248.7589014809877,0.29568234254827563,267.8275436733496,0.9834626079320943,0.9552863195425569
RR,3,A12,47105.50985367999,809.9243400091702,249.63149101317856,240.7458171929639,0.26443016464763097,256.3197028304301,0.9857639987345777,0.9644048361681037
RR,3,B1,54444.959479469995,876.2983134794937,270.1460378332356,256.7585078043809,0.3108977645893959,273.95225991988093,0.9854973320563689,0.9504433596871076
RR,3,B2,49871.975933019996,840.3620267443322,265.50245516911076,239.92781185607836,0.4282199278547662,273.95225991988093,0.9840417598806861,0.9036745505922245
RR,3,B3,52026.19132266999,852.026318785429,261.585415076247,253.45940817073026,0.24731336174044077,268.09551937585604,0.9861031518624642,0.968935550542265
RR,3,B4,51466.85118640999,852.6934108265261,265.9848407237376,246.98195030144637,0.37119111444369807,272.5276127564691,0.9836752383704132,0.9285564907737416
RR,3,B5,47763.11244630999,821.0359949087201,251.70278776677765,242.84053310479865,0.26301847631188535,262.1511973176548,0.9848815461346634,0.9647907965556959
RR,3,B6,50076.05949624999,843.0303949087203,263.1725341920385,243.00322940808442,0.38393311742906117,272.1668142922645,0.9841057635175282,0.9233609052484314
RR,3,B7,52872.76017754999,868.1313453151056,269.9199152980521,250.2629004245793,0.37462939827612984,279.5241852060927,0.9834106565443554,0.927174640478947
RR,3,B8,49713.24427272999,837.8081134794937,258.70872776083013,245.08722776069914,0.32020545439228515,265.65978172303386,0.9841388597935059,0.9473481234358521
RR,3,B9,50310.37766143999,843.5830320502673,271.52779745306736,236.7639024484553,0.48956056464459813,276.8205170640717,0.9849067771530039,0.8719692962168234
RR,3,B10,50136.52870016999,841.9725293972998,264.4803889505419,241.57783505764743,0.4070509057809642,268.88378890675057,0.984709026128266,0.9134054740929117
RR,3,B11,51519.76173983999,852.9697293972997,268.3262677469202,244.969512831267,0.40806270962033175,280.85953164106786,0.9862537982925771,0.9129539008171842
RR,3,B12,48707.943757559995,829.0885081735585,256.84691995445064,241.70600845052925,0.3382651714813895,267.02200297385605,0.9833663970700443,0.9410508348451034
RR,3,C1,52555.296856969995,861.4130161324614,278.03318061487613,241.1370614229788,0.4977928015617078,284.19039478077013,0.9844258813535325,0.8672959856435092
RR,3,C2,51686.05205061999,871.8575789909144,279.88733778353514,237.3010501736076,0.5302443173577777,283.8044742801635,0.9826124443167121,0.847844893780569
RR,3,C3,50491.785273199996,841.0291187854291,255.94556659788256,251.54173252913148,0.18470576511023068,264.0473293176055,0.9849601887348864,0.9827938646201676
RR,3,C4,48458.50829138999,821.8649506210409,260.39682473222723,237.27224187834724,0.41197569314940025,265.9867827287664,0.9850952673632453,0.911194835506694
RR,3,C5,48730.61970902999,834.5871081735585,257.9446873723499,241.02670207321776,0.356193144231027,265.75934636162845,0.9839743589743589,0.9344123522315053
RR,3,C6,49932.44513693999,835.2542002146555,254.42766804993775,250.18587856047287,0.18184010395301023,262.92854044690546,0.9858230114908223,0.9833281123787515
RR,3,C7,49584.74721439999,830.9753293972998,263.73366613172726,239.61622418478134,0.4177678721910846,266.3559526256922,0.9866145285005264,0.9085537986079489
RR,3,C8,44701.85899785999,791.4272638858791,251.1470866499396,227.46143202190368,0.42394035941724606,258.98931338620906,0.9846819846819846,0.90569010796032
RR,3,C9,47717.760543369994,821.0359949087202,256.47291996575797,237.72901208747788,0.37526734421043756,269.44542667569993,0.9831801900015574,0.9269166199660275
RR,3,C10,49599.864515379995,829.3648267443322,261.425951580203,241.8435005406358,0.37973892113025026,267.3614738213604,0.9869153256128741,0.9250936989185655
RR,3,C11,51776.75585649999,850.8065896027848,261.10266870153015,253.31873116010743,0.24235270641334114,269.85188311490435,0.9867473350619418,0.970188211479674
RR,3,C12,46553.72836790999,806.0362426621379,255.1908308291749,232.51804822099967,0.4120668495181081,262.62651374385257,0.9859132383544101,0.9111536157686151
RR,3,D1,53409.42436233999,863.6906108265262,266.0257898397736,256.00057190500064,0.27193767953169384,272.2362357483845,0.9860452135082334,0.9623148645068921
RR,3,D2,47491.00102866999,821.8649506210409,248.4004571524564,244.31666156155663,0.18058365252121364,259.2664243737897,0.9826399749765405,0.9835596293271179
RR,3,D3,49176.58008793999,830.031918785429,259.7154008182127,241.3470111695283,0.36938882313082,266.0578167219486,0.9862058511444596,0.9292749309790015
RR,3,D4,49743.478874689994,834.196334703235,259.43301105559823,244.69915840724144,0.33220420893383035,269.1787948504488,0.9837070254110613,0.9432074870179138
RR,3,D5,52638.44201235999,861.689334703235,275.36640674992043,243.95186095230682,0.4638432434125099,283.0577594661556,0.9843109540636042,0.8859172904625822
RR,3,D6,50242.34980702999,841.9725293972998,268.25722870634326,238.65894247614582,0.4566147350151288,270.7467311936009,0.9844490521327014,0.8896645343988169
RR,3,D7,52079.101876099994,854.5802320502673,264.2084726692126,251.54362941395482,0.30589591153466816,274.88875740657346,0.9845670191483281,0.9520649617050165
RR,3,D8,54664.16034367999,883.2929612329115,279.9621630578336,249.51887948578636,0.45349407142619874,297.5601314690192,0.9847494553376906,0.8912592929003824
RR,3,D9,47868.93355316999,817.700534703235,255.9997453417307,238.65380815830568,0.3618344538792074,260.6620594843254,0.9858343711083437,0.9322423654747385
RR,3,D10,48269.54202913999,821.5886320502674,255.80838432056728,240.9422392674725,0.3359337351549583,261.54499982698957,0.9854938271604938,0.9418856223474474
RR,3,D11,47846.257601699996,822.8083612329115,262.48387214902397,232.58138149403936,0.46353473190684735,276.04122081618533,0.9844479004665629,0.8860787506288857
RR,3,D12,51149.387865829995,854.5802320502673,267.93791348740933,243.65054815694364,0.41602210020021835,275.273447979005,0.9840046531917988,0.9093545030102395
RR,3,E1,52011.074021689994,852.6934108265261,270.37779097506626,245.54777653177848,0.41861134663138977,273.2892707218671,0.986381880733945,0.9081654807750923
RR,3,E2,48775.971611969995,830.0319187854291,257.34808977966605,241.55521704654453,0.34491954944220254,265.9867827287664,0.9836890243902439,0.9386322519563176
RR,3,E3,52691.352565789995,866.9116161324614,272.12469999836003,247.5589749615676,0.4152086257331642,276.75224554675253,0.980587987058658,0.9097262209680324
RR,3,E4,48050.341164929996,823.5899081735585,253.1619314700105,242.2633985055201,0.29025166807535,261.284770366893,0.9823829392675012,0.956950348335522
