,original_names,plot_names
1,072h_raw_CH_bra_mask_AreaShape_BoundingBoxArea,072h Bounding Box Area
2,072h_raw_CH_bra_mask_AreaShape_BoundingBoxMaximum_X,072h Bounding Box Maximum X
3,072h_raw_CH_bra_mask_AreaShape_BoundingBoxMaximum_Y,072h Bounding Box Maximum Y
4,072h_raw_CH_bra_mask_AreaShape_BoundingBoxMinimum_X,072h Bounding Box Minimum X
5,072h_raw_CH_bra_mask_AreaShape_BoundingBoxMinimum_Y,072h Bounding Box Minimum Y
6,072h_raw_CH_bra_mask_AreaShape_Center_X,072h Center X
7,072h_raw_CH_bra_mask_AreaShape_Center_Y,072h Center Y
8,072h_raw_CH_bra_mask_AreaShape_Compactness,072h Compactness
9,072h_raw_CH_bra_mask_AreaShape_ConvexArea,072h Convex Area
10,072h_raw_CH_bra_mask_AreaShape_Eccentricity,072h Eccentricity
11,072h_raw_CH_bra_mask_AreaShape_EquivalentDiameter,072h Equivalent Diameter
12,072h_raw_CH_bra_mask_AreaShape_EulerNumber,072h Euler Number
13,072h_raw_CH_bra_mask_AreaShape_Extent,072h Extent
14,072h_raw_CH_bra_mask_AreaShape_FormFactor,072h Form Factor
15,072h_raw_CH_bra_mask_AreaShape_MajorAxisLength,072h Major Axis Length
16,072h_raw_CH_bra_mask_AreaShape_MaxFeretDiameter,072h Max Feret Diameter
17,072h_raw_CH_bra_mask_AreaShape_MaximumRadius,072h Maximum Radius
18,072h_raw_CH_bra_mask_AreaShape_MeanRadius,072h Mean Radius
19,072h_raw_CH_bra_mask_AreaShape_MedianRadius,072h Median Radius
20,072h_raw_CH_bra_mask_AreaShape_MinFeretDiameter,072h Min Feret Diameter
21,072h_raw_CH_bra_mask_AreaShape_MinorAxisLength,072h Minor Axis Length
22,072h_raw_CH_bra_mask_AreaShape_Orientation,072h Orientation
23,072h_raw_CH_bra_mask_AreaShape_Perimeter,072h Perimeter
24,072h_raw_CH_bra_mask_AreaShape_Solidity,072h Solidity
25,072h_str_CH_AreaShape_Bra_MajorAxis_Polarisation,072h str Major Axis Polarisation
26,072h_str_CH_AreaShape_Bra_MinorAxis_Polarisation,072h str Minor Axis Polarisation
27,096h_raw_CH_AreaShape_Bra_AreaFraction,096h Raction
28,096h_raw_CH_bra_mask_AreaShape_Area,096h Area
29,096h_raw_CH_bra_mask_AreaShape_BoundingBoxArea,096h Bounding Box Area
30,096h_raw_CH_bra_mask_AreaShape_BoundingBoxMaximum_X,096h Bounding Box Maximum X
31,096h_raw_CH_bra_mask_AreaShape_BoundingBoxMaximum_Y,096h Bounding Box Maximum Y
32,096h_raw_CH_bra_mask_AreaShape_BoundingBoxMinimum_X,096h Bounding Box Minimum X
33,096h_raw_CH_bra_mask_AreaShape_BoundingBoxMinimum_Y,096h Bounding Box Minimum Y
34,096h_raw_CH_bra_mask_AreaShape_Center_X,096h Center X
35,096h_raw_CH_bra_mask_AreaShape_Center_Y,096h Center Y
36,096h_raw_CH_bra_mask_AreaShape_Compactness,096h Compactness
37,096h_raw_CH_bra_mask_AreaShape_ConvexArea,096h Convex Area
38,096h_raw_CH_bra_mask_AreaShape_Eccentricity,096h Eccentricity
39,096h_raw_CH_bra_mask_AreaShape_EquivalentDiameter,096h Equivalent Diameter
40,096h_raw_CH_bra_mask_AreaShape_EulerNumber,096h Euler Number
41,096h_raw_CH_bra_mask_AreaShape_Extent,096h Extent
42,096h_raw_CH_bra_mask_AreaShape_FormFactor,096h Form Factor
43,096h_raw_CH_bra_mask_AreaShape_MajorAxisLength,096h Major Axis Length
44,096h_raw_CH_bra_mask_AreaShape_MaxFeretDiameter,096h Max Feret Diameter
45,096h_raw_CH_bra_mask_AreaShape_MaximumRadius,096h Maximum Radius
46,096h_raw_CH_bra_mask_AreaShape_MeanRadius,096h Mean Radius
47,096h_raw_CH_bra_mask_AreaShape_MedianRadius,096h Median Radius
48,096h_raw_CH_bra_mask_AreaShape_MinFeretDiameter,096h Min Feret Diameter
49,096h_raw_CH_bra_mask_AreaShape_MinorAxisLength,096h Minor Axis Length
50,096h_raw_CH_bra_mask_AreaShape_Orientation,096h Orientation
51,096h_raw_CH_bra_mask_AreaShape_Perimeter,096h Perimeter
52,096h_raw_CH_bra_mask_AreaShape_Solidity,096h Solidity
